#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci-halpha_bs-halpha-ir_atm.dat
#
# Science H-alpha bandpass with H-alpha/IR B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  6.56409e-07 [central wavelength, in m]
#    w_eff:     8.52096e-09 [effective width, in m]
#    FWHM:      8.46166e-09 [full-width at half max., in m]
#    Trans_max: 0.229864 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0178858 [W/m^3 above atm]
#    f_nu_0:     2570.34 [Jy above atm]
#    f_phot_0:   5.90989e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 4.63192e-09 [W at telescope aperture]
#    F_phot_0:   3.51807e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  6.401e-07          0
  6.402e-07          3.05494e-06
  6.403e-07          3.36863e-06
  6.404e-07          3.68371e-06
  6.405e-07          3.73223e-06
  6.406e-07          3.78086e-06
  6.407e-07          3.83255e-06
  6.408e-07          3.84064e-06
  6.409e-07          3.84874e-06
  6.41e-07          3.85353e-06
  6.411e-07          3.85763e-06
  6.412e-07          3.86055e-06
  6.413e-07          3.88193e-06
  6.414e-07          3.90238e-06
  6.415e-07          3.92465e-06
  6.416e-07          4.12059e-06
  6.417e-07          4.44891e-06
  6.418e-07          4.89996e-06
  6.419e-07          5.18163e-06
  6.42e-07          5.53201e-06
  6.421e-07          5.68308e-06
  6.422e-07          6.00927e-06
  6.423e-07          6.33546e-06
  6.424e-07          6.54186e-06
  6.425e-07          6.74826e-06
  6.426e-07          7.08092e-06
  6.427e-07          7.41355e-06
  6.428e-07          7.98702e-06
  6.429e-07          8.31365e-06
  6.43e-07          8.80377e-06
  6.431e-07          9.30015e-06
  6.432e-07          9.81465e-06
  6.433e-07          1.00094e-05
  6.434e-07          1.04873e-05
  6.435e-07          1.09193e-05
  6.436e-07          1.15221e-05
  6.437e-07          1.19933e-05
  6.438e-07          1.2527e-05
  6.439e-07          1.29007e-05
  6.44e-07          1.35273e-05
  6.441e-07          1.44301e-05
  6.442e-07          1.51757e-05
  6.443e-07          1.60003e-05
  6.444e-07          1.68234e-05
  6.445e-07          1.73573e-05
  6.446e-07          1.78904e-05
  6.447e-07          1.90929e-05
  6.448e-07          2.03989e-05
  6.449e-07          2.19202e-05
  6.45e-07          2.31443e-05
  6.451e-07          2.42128e-05
  6.452e-07          2.49212e-05
  6.453e-07          2.62383e-05
  6.454e-07          2.80361e-05
  6.455e-07          2.8834e-05
  6.456e-07          3.06046e-05
  6.457e-07          3.30471e-05
  6.458e-07          3.35381e-05
  6.459e-07          3.64401e-05
  6.46e-07          4.09654e-05
  6.461e-07          4.34853e-05
  6.462e-07          4.8182e-05
  6.463e-07          5.29738e-05
  6.464e-07          5.72883e-05
  6.465e-07          6.16818e-05
  6.466e-07          6.64979e-05
  6.467e-07          7.13806e-05
  6.468e-07          7.91457e-05
  6.469e-07          8.37153e-05
  6.47e-07          9.24846e-05
  6.471e-07          9.95096e-05
  6.472e-07          0.00011159
  6.473e-07          0.000120424
  6.474e-07          0.000130988
  6.475e-07          0.000146029
  6.476e-07          0.000157098
  6.477e-07          0.000176721
  6.478e-07          0.000198561
  6.479e-07          0.000209394
  6.48e-07          0.000242974
  6.481e-07          0.000262501
  6.482e-07          0.000306234
  6.483e-07          0.000340858
  6.484e-07          0.000375488
  6.485e-07          0.00041164
  6.486e-07          0.000447766
  6.487e-07          0.00050799
  6.488e-07          0.000553426
  6.489e-07          0.000634825
  6.49e-07          0.000728157
  6.491e-07          0.000840184
  6.492e-07          0.000931252
  6.493e-07          0.00108354
  6.494e-07          0.00120395
  6.495e-07          0.0014043
  6.496e-07          0.00162818
  6.497e-07          0.00183205
  6.498e-07          0.0021888
  6.499e-07          0.00255944
  6.5e-07          0.00282564
  6.501e-07          0.00340553
  6.502e-07          0.00386107
  6.503e-07          0.00481638
  6.504e-07          0.00565554
  6.505e-07          0.00649413
  6.506e-07          0.00737565
  6.507e-07          0.00825656
  6.508e-07          0.0101989
  6.509e-07          0.0120878
  6.51e-07          0.01417
  6.511e-07          0.0167482
  6.512e-07          0.0199811
  6.513e-07          0.0244711
  6.514e-07          0.0290032
  6.515e-07          0.0342928
  6.516e-07          0.0412273
  6.517e-07          0.0474116
  6.518e-07          0.0592773
  6.519e-07          0.0699731
  6.52e-07          0.0803164
  6.521e-07          0.0976947
  6.522e-07          0.117594
  6.523e-07          0.132485
  6.524e-07          0.147372
  6.525e-07          0.159137
  6.526e-07          0.170901
  6.527e-07          0.181007
  6.528e-07          0.191113
  6.529e-07          0.201881
  6.53e-07          0.210396
  6.531e-07          0.217713
  6.532e-07          0.220718
  6.533e-07          0.223723
  6.534e-07          0.226794
  6.535e-07          0.229864
  6.536e-07          0.229827
  6.537e-07          0.22979
  6.538e-07          0.229752
  6.539e-07          0.229715
  6.54e-07          0.229678
  6.541e-07          0.229637
  6.542e-07          0.229634
  6.543e-07          0.229631
  6.544e-07          0.229634
  6.545e-07          0.229636
  6.546e-07          0.229594
  6.547e-07          0.229552
  6.548e-07          0.22951
  6.549e-07          0.229468
  6.55e-07          0.229427
  6.551e-07          0.229244
  6.552e-07          0.229061
  6.553e-07          0.228878
  6.554e-07          0.228695
  6.555e-07          0.228511
  6.556e-07          0.228273
  6.557e-07          0.228034
  6.558e-07          0.227803
  6.559e-07          0.227629
  6.56e-07          0.22745
  6.561e-07          0.227611
  6.562e-07          0.22771
  6.563e-07          0.227677
  6.564e-07          0.227643
  6.565e-07          0.22775
  6.566e-07          0.227856
  6.567e-07          0.228014
  6.568e-07          0.228171
  6.569e-07          0.228329
  6.57e-07          0.228486
  6.571e-07          0.228478
  6.572e-07          0.228402
  6.573e-07          0.228192
  6.574e-07          0.228132
  6.575e-07          0.22781
  6.576e-07          0.227678
  6.577e-07          0.227465
  6.578e-07          0.227457
  6.579e-07          0.227449
  6.58e-07          0.227441
  6.581e-07          0.227408
  6.582e-07          0.227308
  6.583e-07          0.227105
  6.584e-07          0.226954
  6.585e-07          0.226802
  6.586e-07          0.226599
  6.587e-07          0.226396
  6.588e-07          0.22631
  6.589e-07          0.226073
  6.59e-07          0.225846
  6.591e-07          0.225248
  6.592e-07          0.224993
  6.593e-07          0.224396
  6.594e-07          0.223936
  6.595e-07          0.223427
  6.596e-07          0.219876
  6.597e-07          0.216368
  6.598e-07          0.214447
  6.599e-07          0.208249
  6.6e-07          0.202597
  6.601e-07          0.192898
  6.602e-07          0.172942
  6.603e-07          0.159584
  6.604e-07          0.146399
  6.605e-07          0.133453
  6.606e-07          0.120659
  6.607e-07          0.108797
  6.608e-07          0.0970693
  6.609e-07          0.0823189
  6.61e-07          0.0710456
  6.611e-07          0.0596544
  6.612e-07          0.0467864
  6.613e-07          0.038275
  6.614e-07          0.0324249
  6.615e-07          0.0263448
  6.616e-07          0.0224083
  6.617e-07          0.0177086
  6.618e-07          0.0147661
  6.619e-07          0.012168
  6.62e-07          0.00973807
  6.621e-07          0.00762411
  6.622e-07          0.00629982
  6.623e-07          0.00453506
  6.624e-07          0.003534
  6.625e-07          0.00265203
  6.626e-07          0.00204552
  6.627e-07          0.00151749
  6.628e-07          0.00120094
  6.629e-07          0.00092146
  6.63e-07          0.000703878
  6.631e-07          0.000567249
  6.632e-07          0.000451276
  6.633e-07          0.000344439
  6.634e-07          0.000267108
  6.635e-07          0.000207008
  6.636e-07          0.000153322
  6.637e-07          0.000112513
  6.638e-07          7.45143e-05
  6.639e-07          4.48062e-05
  6.64e-07          2.99132e-05
  6.641e-07          2.60775e-05
  6.642e-07          2.27897e-05
  6.643e-07          2.0934e-05
  6.644e-07          1.76245e-05
  6.645e-07          1.60738e-05
  6.646e-07          1.45237e-05
  6.647e-07          1.34267e-05
  6.648e-07          1.23302e-05
  6.649e-07          1.09211e-05
  6.65e-07          1.03341e-05
  6.651e-07          9.06799e-06
  6.652e-07          8.39851e-06
  6.653e-07          7.35695e-06
  6.654e-07          6.66826e-06
  6.655e-07          6.11138e-06
  6.656e-07          5.75642e-06
  6.657e-07          5.1109e-06
  6.658e-07          4.67207e-06
  6.659e-07          4.31524e-06
  6.66e-07          3.83716e-06
  6.661e-07          3.68978e-06
  6.662e-07          3.27024e-06
  6.663e-07          2.92534e-06
  6.664e-07          2.69527e-06
  6.665e-07          2.46536e-06
  6.666e-07          2.30998e-06
  6.667e-07          2.15466e-06
  6.668e-07          2.00621e-06
  6.669e-07          1.85781e-06
  6.67e-07          1.72588e-06
  6.671e-07          1.59141e-06
  6.672e-07          1.48039e-06
  6.673e-07          1.39942e-06
  6.674e-07          1.2946e-06
  6.675e-07          1.19165e-06
  6.676e-07          1.11256e-06
  6.677e-07          1.06747e-06
  6.678e-07          9.76626e-07
  6.679e-07          9.07577e-07
  6.68e-07          8.70781e-07
  6.681e-07          8.18054e-07
  6.682e-07          7.69319e-07
  6.683e-07          7.17809e-07
  6.684e-07          6.47248e-07
  6.685e-07          6.15283e-07
  6.686e-07          5.83338e-07
  6.687e-07          5.66336e-07
  6.688e-07          5.48822e-07
  6.689e-07          5.16346e-07
  6.69e-07          5.11178e-07
  6.691e-07          4.71863e-07
  6.692e-07          4.38617e-07
  6.693e-07          4.27283e-07
  6.694e-07          3.99834e-07
  6.695e-07          3.7642e-07
  6.696e-07          3.58124e-07
  6.697e-07          3.38846e-07
  6.698e-07          3.25099e-07
  6.699e-07          3.15357e-07
  6.7e-07          3.05616e-07
  6.701e-07          2.8905e-07
  6.702e-07          2.78374e-07
  6.703e-07          2.63375e-07
  6.704e-07          2.53439e-07
  6.705e-07          2.43556e-07
  6.706e-07          2.27623e-07
  6.707e-07          2.1201e-07
  6.708e-07          2.02273e-07
  6.709e-07          1.92659e-07
  6.71e-07          1.82485e-07
  6.711e-07          1.75062e-07
  6.712e-07          1.66771e-07
  6.713e-07          1.62306e-07
  6.714e-07          1.61153e-07
  6.715e-07          1.60942e-07
  6.716e-07          1.60701e-07
  6.717e-07          1.65057e-07
  6.718e-07          1.66473e-07
