#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci-halpha-cont_bs-halpha-ir_atm.dat
#
# Science H-alpha Continuum bandpass with H-alpha/IR B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  6.68037e-07 [central wavelength, in m]
#    w_eff:     8.62269e-09 [effective width, in m]
#    FWHM:      8.49254e-09 [full-width at half max., in m]
#    Trans_max: 0.218191 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.019793 [W/m^3 above atm]
#    f_nu_0:     2946.21 [Jy above atm]
#    f_phot_0:   6.65607e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.18702e-09 [W at telescope aperture]
#    F_phot_0:   3.80593e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  6.515e-07          0
  6.516e-07          1.82649e-09
  6.517e-07          2.08494e-09
  6.518e-07          2.24035e-09
  6.519e-07          2.39961e-09
  6.52e-07          2.43796e-09
  6.521e-07          2.4855e-09
  6.522e-07          2.46797e-09
  6.523e-07          2.46525e-09
  6.524e-07          2.46231e-09
  6.525e-07          2.54871e-09
  6.526e-07          2.63386e-09
  6.527e-07          2.75866e-09
  6.528e-07          2.88162e-09
  6.529e-07          3.09396e-09
  6.53e-07          3.28656e-09
  6.531e-07          3.30269e-09
  6.532e-07          3.45658e-09
  6.533e-07          3.56164e-09
  6.534e-07          3.68061e-09
  6.535e-07          3.83977e-09
  6.536e-07          3.9007e-09
  6.537e-07          3.9562e-09
  6.538e-07          4.10062e-09
  6.539e-07          4.20037e-09
  6.54e-07          4.38364e-09
  6.541e-07          4.44885e-09
  6.542e-07          4.66685e-09
  6.543e-07          4.98599e-09
  6.544e-07          5.1374e-09
  6.545e-07          5.28549e-09
  6.546e-07          5.40066e-09
  6.547e-07          5.51394e-09
  6.548e-07          5.73081e-09
  6.549e-07          6.05757e-09
  6.55e-07          6.11568e-09
  6.551e-07          6.44433e-09
  6.552e-07          6.62918e-09
  6.553e-07          6.92787e-09
  6.554e-07          7.23733e-09
  6.555e-07          7.59964e-09
  6.556e-07          7.99193e-09
  6.557e-07          8.13577e-09
  6.558e-07          8.69373e-09
  6.559e-07          9.21197e-09
  6.56e-07          9.28058e-09
  6.561e-07          1.02103e-08
  6.562e-07          1.68828e-08
  6.563e-07          3.86045e-08
  6.564e-07          6.29771e-08
  6.565e-07          7.26799e-08
  6.566e-07          8.30492e-08
  6.567e-07          8.767e-08
  6.568e-07          9.22882e-08
  6.569e-07          9.5952e-08
  6.57e-07          1.02947e-07
  6.571e-07          1.11895e-07
  6.572e-07          1.30509e-07
  6.573e-07          1.79567e-07
  6.574e-07          1.92494e-07
  6.575e-07          2.64109e-07
  6.576e-07          3.0772e-07
  6.577e-07          3.78717e-07
  6.578e-07          4.14653e-07
  6.579e-07          4.45197e-07
  6.58e-07          4.85962e-07
  6.581e-07          5.15388e-07
  6.582e-07          5.99641e-07
  6.583e-07          7.36574e-07
  6.584e-07          8.62e-07
  6.585e-07          9.97074e-07
  6.586e-07          1.16703e-06
  6.587e-07          1.35025e-06
  6.588e-07          1.46238e-06
  6.589e-07          1.78144e-06
  6.59e-07          2.12369e-06
  6.591e-07          2.76827e-06
  6.592e-07          3.21487e-06
  6.593e-07          4.12152e-06
  6.594e-07          4.98424e-06
  6.595e-07          6.23008e-06
  6.596e-07          7.11045e-06
  6.597e-07          8.90462e-06
  6.598e-07          1.02499e-05
  6.599e-07          1.31804e-05
  6.6e-07          1.56405e-05
  6.601e-07          2.04008e-05
  6.602e-07          2.968e-05
  6.603e-07          3.80118e-05
  6.604e-07          4.73686e-05
  6.605e-07          5.95834e-05
  6.606e-07          7.31259e-05
  6.607e-07          8.8315e-05
  6.608e-07          0.000104848
  6.609e-07          0.000123716
  6.61e-07          0.000158308
  6.611e-07          0.000211081
  6.612e-07          0.000297155
  6.613e-07          0.000398725
  6.614e-07          0.000516656
  6.615e-07          0.000687713
  6.616e-07          0.000867249
  6.617e-07          0.00109364
  6.618e-07          0.00137227
  6.619e-07          0.00166461
  6.62e-07          0.00225558
  6.621e-07          0.00304284
  6.622e-07          0.00389458
  6.623e-07          0.00576682
  6.624e-07          0.00762758
  6.625e-07          0.00971803
  6.626e-07          0.0124745
  6.627e-07          0.0155259
  6.628e-07          0.0188321
  6.629e-07          0.0223859
  6.63e-07          0.0289819
  6.631e-07          0.0349076
  6.632e-07          0.0418208
  6.633e-07          0.050502
  6.634e-07          0.058727
  6.635e-07          0.0724842
  6.636e-07          0.0866004
  6.637e-07          0.096869
  6.638e-07          0.115742
  6.639e-07          0.133517
  6.64e-07          0.14778
  6.641e-07          0.159333
  6.642e-07          0.168302
  6.643e-07          0.181467
  6.644e-07          0.197058
  6.645e-07          0.202334
  6.646e-07          0.207609
  6.647e-07          0.210707
  6.648e-07          0.213804
  6.649e-07          0.215998
  6.65e-07          0.218191
  6.651e-07          0.218158
  6.652e-07          0.218125
  6.653e-07          0.218092
  6.654e-07          0.217997
  6.655e-07          0.21784
  6.656e-07          0.217734
  6.657e-07          0.217689
  6.658e-07          0.217657
  6.659e-07          0.21757
  6.66e-07          0.217484
  6.661e-07          0.2174
  6.662e-07          0.217332
  6.663e-07          0.217264
  6.664e-07          0.217203
  6.665e-07          0.217142
  6.666e-07          0.217111
  6.667e-07          0.217081
  6.668e-07          0.217051
  6.669e-07          0.21702
  6.67e-07          0.21699
  6.671e-07          0.216967
  6.672e-07          0.216945
  6.673e-07          0.216923
  6.674e-07          0.2169
  6.675e-07          0.216878
  6.676e-07          0.216856
  6.677e-07          0.216833
  6.678e-07          0.216809
  6.679e-07          0.216773
  6.68e-07          0.216758
  6.681e-07          0.216743
  6.682e-07          0.21672
  6.683e-07          0.216651
  6.684e-07          0.216583
  6.685e-07          0.216514
  6.686e-07          0.216446
  6.687e-07          0.216342
  6.688e-07          0.216239
  6.689e-07          0.216108
  6.69e-07          0.216085
  6.691e-07          0.216059
  6.692e-07          0.216032
  6.693e-07          0.216008
  6.694e-07          0.215985
  6.695e-07          0.215973
  6.696e-07          0.215946
  6.697e-07          0.215919
  6.698e-07          0.215892
  6.699e-07          0.215883
  6.7e-07          0.215873
  6.701e-07          0.215777
  6.702e-07          0.215726
  6.703e-07          0.215797
  6.704e-07          0.215707
  6.705e-07          0.215617
  6.706e-07          0.215595
  6.707e-07          0.215572
  6.708e-07          0.215566
  6.709e-07          0.21556
  6.71e-07          0.215504
  6.711e-07          0.213473
  6.712e-07          0.211442
  6.713e-07          0.207498
  6.714e-07          0.20493
  6.715e-07          0.202442
  6.716e-07          0.190893
  6.717e-07          0.180899
  6.718e-07          0.167353
  6.719e-07          0.157625
  6.72e-07          0.146131
  6.721e-07          0.131308
  6.722e-07          0.11666
  6.723e-07          0.103464
  6.724e-07          0.0856189
  6.725e-07          0.0752627
  6.726e-07          0.0649308
  6.727e-07          0.0577773
  6.728e-07          0.0506389
  6.729e-07          0.0415615
  6.73e-07          0.0347281
  6.731e-07          0.030744
  6.732e-07          0.0261163
  6.733e-07          0.022434
  6.734e-07          0.018709
  6.735e-07          0.0159642
  6.736e-07          0.0139467
  6.737e-07          0.0115974
  6.738e-07          0.0101291
  6.739e-07          0.00886277
  6.74e-07          0.00762405
  6.741e-07          0.00668828
  6.742e-07          0.005665
  6.743e-07          0.00451556
  6.744e-07          0.00402884
  6.745e-07          0.00354393
  6.746e-07          0.00316181
  6.747e-07          0.00278099
