#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci-halpha-cont_bs-halpha-ir.dat
#
# Science H-alpha Continuum bandpass with H-alpha/IR B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  6.68037e-07 [central wavelength, in m]
#    w_eff:     8.62275e-09 [effective width, in m]
#    FWHM:      8.4928e-09 [full-width at half max., in m]
#    Trans_max: 0.218202 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.019793 [W/m^3 above atm]
#    f_nu_0:     2946.21 [Jy above atm]
#    f_phot_0:   6.65607e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.18706e-09 [W at telescope aperture]
#    F_phot_0:   3.80616e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  6.515e-07          0
  6.516e-07          1.82844e-09
  6.517e-07          2.08734e-09
  6.518e-07          2.24311e-09
  6.519e-07          2.40276e-09
  6.52e-07          2.44137e-09
  6.521e-07          2.48865e-09
  6.522e-07          2.47078e-09
  6.523e-07          2.46773e-09
  6.524e-07          2.46446e-09
  6.525e-07          2.55061e-09
  6.526e-07          2.63549e-09
  6.527e-07          2.76e-09
  6.528e-07          2.88265e-09
  6.529e-07          3.09467e-09
  6.53e-07          3.28688e-09
  6.531e-07          3.30312e-09
  6.532e-07          3.45715e-09
  6.533e-07          3.56235e-09
  6.534e-07          3.68147e-09
  6.535e-07          3.84079e-09
  6.536e-07          3.90186e-09
  6.537e-07          3.95751e-09
  6.538e-07          4.10212e-09
  6.539e-07          4.20205e-09
  6.54e-07          4.38554e-09
  6.541e-07          4.45109e-09
  6.542e-07          4.66952e-09
  6.543e-07          4.98918e-09
  6.544e-07          5.14104e-09
  6.545e-07          5.2896e-09
  6.546e-07          5.40523e-09
  6.547e-07          5.51899e-09
  6.548e-07          5.73644e-09
  6.549e-07          6.06394e-09
  6.55e-07          6.12253e-09
  6.551e-07          6.45643e-09
  6.552e-07          6.64665e-09
  6.553e-07          6.95139e-09
  6.554e-07          7.26741e-09
  6.555e-07          7.63702e-09
  6.556e-07          8.03734e-09
  6.557e-07          8.18821e-09
  6.558e-07          8.75643e-09
  6.559e-07          9.28546e-09
  6.56e-07          9.36174e-09
  6.561e-07          1.02916e-08
  6.562e-07          1.70039e-08
  6.563e-07          3.88511e-08
  6.564e-07          6.333e-08
  6.565e-07          7.30303e-08
  6.566e-07          8.33847e-08
  6.567e-07          8.79558e-08
  6.568e-07          9.25171e-08
  6.569e-07          9.61155e-08
  6.57e-07          1.03043e-07
  6.571e-07          1.1199e-07
  6.572e-07          1.30609e-07
  6.573e-07          1.79688e-07
  6.574e-07          1.92608e-07
  6.575e-07          2.64243e-07
  6.576e-07          3.07851e-07
  6.577e-07          3.78846e-07
  6.578e-07          4.14759e-07
  6.579e-07          4.45274e-07
  6.58e-07          4.86006e-07
  6.581e-07          5.15436e-07
  6.582e-07          5.99699e-07
  6.583e-07          7.3665e-07
  6.584e-07          8.62092e-07
  6.585e-07          9.97184e-07
  6.586e-07          1.16716e-06
  6.587e-07          1.35041e-06
  6.588e-07          1.46256e-06
  6.589e-07          1.78166e-06
  6.59e-07          2.12397e-06
  6.591e-07          2.76861e-06
  6.592e-07          3.21524e-06
  6.593e-07          4.12195e-06
  6.594e-07          4.9847e-06
  6.595e-07          6.23061e-06
  6.596e-07          7.11098e-06
  6.597e-07          8.90521e-06
  6.598e-07          1.02505e-05
  6.599e-07          1.31811e-05
  6.6e-07          1.56411e-05
  6.601e-07          2.04015e-05
  6.602e-07          2.9681e-05
  6.603e-07          3.8013e-05
  6.604e-07          4.73699e-05
  6.605e-07          5.95848e-05
  6.606e-07          7.31275e-05
  6.607e-07          8.83166e-05
  6.608e-07          0.000104849
  6.609e-07          0.000123718
  6.61e-07          0.00015831
  6.611e-07          0.000211109
  6.612e-07          0.000297233
  6.613e-07          0.000398879
  6.614e-07          0.00051692
  6.615e-07          0.000688151
