#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci-halpha_bs-halpha-ir.dat
#
# Science H-alpha bandpass with H-alpha/IR B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  6.56408e-07 [central wavelength, in m]
#    w_eff:     8.53085e-09 [effective width, in m]
#    FWHM:      8.46193e-09 [full-width at half max., in m]
#    Trans_max: 0.229925 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0178821 [W/m^3 above atm]
#    f_nu_0:     2569.8 [Jy above atm]
#    f_phot_0:   5.90866e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 4.63633e-09 [W at telescope aperture]
#    F_phot_0:   3.52235e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  6.401e-07          0
  6.402e-07          3.05545e-06
  6.403e-07          3.36943e-06
  6.404e-07          3.68486e-06
  6.405e-07          3.73365e-06
  6.406e-07          3.78258e-06
  6.407e-07          3.83457e-06
  6.408e-07          3.84295e-06
  6.409e-07          3.85132e-06
  6.41e-07          3.8564e-06
  6.411e-07          3.86024e-06
  6.412e-07          3.8629e-06
  6.413e-07          3.88403e-06
  6.414e-07          3.90423e-06
  6.415e-07          3.92625e-06
  6.416e-07          4.12198e-06
  6.417e-07          4.45012e-06
  6.418e-07          4.90096e-06
  6.419e-07          5.18234e-06
  6.42e-07          5.53239e-06
  6.421e-07          5.68344e-06
  6.422e-07          6.00962e-06
  6.423e-07          6.33579e-06
  6.424e-07          6.54217e-06
  6.425e-07          6.74855e-06
  6.426e-07          7.08119e-06
  6.427e-07          7.41379e-06
  6.428e-07          7.98724e-06
  6.429e-07          8.31383e-06
  6.43e-07          8.80392e-06
  6.431e-07          9.30072e-06
  6.432e-07          9.8157e-06
  6.433e-07          1.00109e-05
  6.434e-07          1.04893e-05
  6.435e-07          1.09219e-05
  6.436e-07          1.15254e-05
  6.437e-07          1.19972e-05
  6.438e-07          1.25317e-05
  6.439e-07          1.29061e-05
  6.44e-07          1.35336e-05
  6.441e-07          1.44364e-05
  6.442e-07          1.5182e-05
  6.443e-07          1.60064e-05
  6.444e-07          1.68295e-05
  6.445e-07          1.73631e-05
  6.446e-07          1.78958e-05
  6.447e-07          1.90982e-05
  6.448e-07          2.04039e-05
  6.449e-07          2.19251e-05
  6.45e-07          2.31488e-05
  6.451e-07          2.42177e-05
  6.452e-07          2.49264e-05
  6.453e-07          2.6244e-05
  6.454e-07          2.80423e-05
  6.455e-07          2.88405e-05
  6.456e-07          3.06118e-05
  6.457e-07          3.30551e-05
  6.458e-07          3.35464e-05
  6.459e-07          3.64493e-05
  6.46e-07          4.09761e-05
  6.461e-07          4.34993e-05
  6.462e-07          4.82005e-05
  6.463e-07          5.29975e-05
  6.464e-07          5.73174e-05
  6.465e-07          6.1717e-05
  6.466e-07          6.654e-05
  6.467e-07          7.14302e-05
  6.468e-07          7.92056e-05
  6.469e-07          8.37839e-05
  6.47e-07          9.25661e-05
  6.471e-07          9.96096e-05
  6.472e-07          0.000111716
  6.473e-07          0.000120574
  6.474e-07          0.000131168
  6.475e-07          0.000146247
  6.476e-07          0.000157353
  6.477e-07          0.000177029
  6.478e-07          0.000198932
  6.479e-07          0.00020981
  6.48e-07          0.000243488
  6.481e-07          0.000263033
  6.482e-07          0.000306827
  6.483e-07          0.000341487
  6.484e-07          0.000376148
  6.485e-07          0.000412328
  6.486e-07          0.000448475
  6.487e-07          0.000508749
  6.488e-07          0.000554203
  6.489e-07          0.00063566
  6.49e-07          0.000729051
  6.491e-07          0.000841136
  6.492e-07          0.000932219
  6.493e-07          0.00108456
  6.494e-07          0.00120497
  6.495e-07          0.00140536
  6.496e-07          0.00162926
  6.497e-07          0.00183308
  6.498e-07          0.00218983
  6.499e-07          0.00256041
  6.5e-07          0.00282644
  6.501e-07          0.00340659
  6.502e-07          0.00386239
  6.503e-07          0.00481816
  6.504e-07          0.0056578
  6.505e-07          0.00649691
  6.506e-07          0.00737903
  6.507e-07          0.00826059
  6.508e-07          0.0102042
  6.509e-07          0.0120945
  6.51e-07          0.0141782
  6.511e-07          0.0167593
  6.512e-07          0.019996
  6.513e-07          0.0244912
  6.514e-07          0.0290295
  6.515e-07          0.0343266
  6.516e-07          0.0412713
  6.517e-07          0.0474661
  6.518e-07          0.0593503
  6.519e-07          0.0700651
  6.52e-07          0.0804285
  6.521e-07          0.0978184
  6.522e-07          0.117727
  6.523e-07          0.132618
  6.524e-07          0.147502
  6.525e-07          0.159256
  6.526e-07          0.171007
  6.527e-07          0.181096
  6.528e-07          0.191181
  6.529e-07          0.201927
  6.53e-07          0.210417
  6.531e-07          0.217742
  6.532e-07          0.220755
  6.533e-07          0.223767
  6.534e-07          0.226847
  6.535e-07          0.229925
  6.536e-07          0.229896
  6.537e-07          0.229866
  6.538e-07          0.229836
  6.539e-07          0.229807
  6.54e-07          0.229777
  6.541e-07          0.229752
  6.542e-07          0.229765
  6.543e-07          0.229778
  6.544e-07          0.229796
